Sample_ID,Source
23_S7_R1_001,"2D, nondiff, SMC"
24_S8_R1_001,"2D, nondiff, SMC"
35_S15_R1_001,"2D, nondiff, SMC"
40_S17_R1_001,"2D, nondiff, SMC"
47_S9_R1_001,"2D, nondiff, SMC"
51_S4_R1_001,"2D, nondiff, SMC"
77_S7_R1_001,"2D, nondiff, SMC"
78_S8_R1_001,"2D, nondiff, SMC"
3_S14_R1_001,"3D, nondiff, SMC"
27_S1_R1_001,"3D, nondiff, SMC"
28_S11_R1_001,"3D, nondiff, SMC"
43_S19_R1_001,"3D, nondiff, SMC"
44_S20_R1_001,"3D, nondiff, SMC"
76_S6_R1_001,"3D, nondiff, SMC"
88_S18_R1_001,"3D, nondiff, SMC"
5_S7_R1_001,"3D, diff, SMC"
46_S21_R1_001,"3D, diff, SMC"
58_S11_R1_001,"3D, diff, SMC"
80_S10_R1_001,"3D, diff, SMC"
80_S4_R1_001,"3D, diff, SMC"
1_S31_R1_001,"2D, diff, SMC"
33_S13_R1_001,"2D, diff, SMC"
34_S14_R1_001,"2D, diff, SMC"
41_S18_R1_001,"2D, diff, SMC"
42_S19_R1_001,"2D, diff, SMC"
50_S20_R1_001,"2D, diff, SMC"
53_S21_R1_001,"2D, diff, SMC"
56_S22_R1_001,"2D, diff, SMC"
79_S9_R1_001,"2D, diff, SMC"
2_S13_R1_001,"2D, nondiff, AMC"
25_S9_R1_001,"2D, nondiff, AMC"
26_S10_R1_001,"2D, nondiff, AMC"
59_S23_R1_001,"2D, nondiff, AMC"
62_S25_R1_001,"2D, nondiff, AMC"
64_S26_R1_001,"2D, nondiff, AMC"
66_S28_R1_001,"2D, nondiff, AMC"
81_S11_R1_001,"2D, nondiff, AMC"
85_S15_R1_001,"2D, nondiff, AMC"
4_S32_R1_001,"3D, nondiff, AMC"
29_S12_R1_001,"3D, nondiff, AMC"
30_S8_R1_001,"3D, nondiff, AMC"
60_S24_R1_001,"3D, nondiff, AMC"
65_S27_R1_001,"3D, nondiff, AMC"
68_S30_R1_001,"3D, nondiff, AMC"
71_S32_R1_001,"3D, nondiff, AMC"
82_S12_R1_001,"3D, nondiff, AMC"
87_S17_R1_001,"3D, nondiff, AMC"
6_S16_R1_001,"3D, diff, AMC"
36_S2_R1_001,"3D, diff, AMC"
37_S3_R1_001,"3D, diff, AMC"
75_S3_R1_001,"3D, diff, AMC"
84_S14_R1_001,"3D, diff, AMC"
38_S18_R1_001,"2D, diff, AMC"
39_S16_R1_001,"2D, diff, AMC"
61_S12_R1_001,"2D, diff, AMC"
67_S29_R1_001,"2D, diff, AMC"
69_S31_R1_001,"2D, diff, AMC"
72_S1_R1_001,"2D, diff, AMC"
73_S2_R1_001,"2D, diff, AMC"
83_S13_R1_001,"2D, diff, AMC"
86_S16_R1_001,"2D, diff, AMC"
