Sample_ID,Source
Gilmutdinova3,"2D, nondiff, AMC"
Grinakovskaya3,"2D, nondiff, AMC"
Petrikina3,"2D, nondiff, AMC"
Samchuk3,"2D, nondiff, AMC"
Mihey3,"2D, nondiff, AMC"
Chervov63,"2D, nondiff, AMC"
Gilmutdinova4,"2D, diff, AMC"
Grinakovskaya4,"2D, diff, AMC"
Petrikina4,"2D, diff, AMC"
Samchuk4,"2D, diff, AMC"
Mihey4,"2D, diff, AMC"
Chervov64,"2D, diff, AMC"
X2mus,"2D, nondiff, SMC"
X4mus,"2D, nondiff, SMC"
X6musle,"2D, nondiff, SMC"
X73mus,"2D, nondiff, SMC"
Shimanova1,"2D, nondiff, SMC"
Shimanova3,"2D, nondiff, SMC"
X2mus_dif,"2D, diff, SMC"
X4mus_dif,"2D, diff, SMC"
X6musle_diff,"2D, diff, SMC"
X73mus_dif,"2D, diff, SMC"
Shimanova2,"2D, diff, SMC"
Shimanova4,"2D, diff, SMC"
